ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Insulin signal transduction	Insulin signal transduction	1/2	9/829	0.0216080138459117	0.035882239820982	NA	INS	1
Glutamatergic subgraph	Glutamatergic subgraph	1/2	15/829	0.035882239820982	0.035882239820982	NA	GRIN1	1
