"from","to"
"Cluster_26","Cluster_2"
"Cluster_27","Cluster_2"
"Cluster_3","Cluster_2"
"Cluster_6","Cluster_2"
"Cluster_7","Cluster_2"
"Cluster_8","Cluster_2"
"phenotype","Cluster_2"
"REL","Cluster_2"
"PPARG","Cluster_2"
"GRIN1","Cluster_2"
"CASP7","Cluster_2"
"NAV3","Cluster_2"
"DLG4","Cluster_2"
"CD33","Cluster_2"
"Cluster_1","Cluster_20"
"Cluster_11","Cluster_20"
"Cluster_14","Cluster_20"
"Cluster_15","Cluster_20"
"Cluster_16","Cluster_20"
"Cluster_17","Cluster_20"
"Cluster_18","Cluster_20"
"Cluster_19","Cluster_20"
"Cluster_2","Cluster_20"
"Cluster_21","Cluster_20"
"Cluster_25","Cluster_20"
"Cluster_26","Cluster_20"
"Cluster_27","Cluster_20"
"Cluster_3","Cluster_20"
"Cluster_4","Cluster_20"
"Cluster_6","Cluster_20"
"Cluster_7","Cluster_20"
"Cluster_8","Cluster_20"
"Cluster_9","Cluster_20"
"phenotype","Cluster_20"
"REL","Cluster_20"
"PPARG","Cluster_20"
"TRAF1","Cluster_20"
"GRIN1","Cluster_20"
"CASP7","Cluster_20"
"NAV3","Cluster_20"
"DLG4","Cluster_20"
"CD33","Cluster_20"
"Cluster_1","Cluster_21"
"Cluster_11","Cluster_21"
"Cluster_14","Cluster_21"
"Cluster_15","Cluster_21"
"Cluster_16","Cluster_21"
"Cluster_17","Cluster_21"
"Cluster_18","Cluster_21"
"Cluster_19","Cluster_21"
"Cluster_2","Cluster_21"
"Cluster_20","Cluster_21"
"Cluster_25","Cluster_21"
"Cluster_26","Cluster_21"
"Cluster_27","Cluster_21"
"Cluster_3","Cluster_21"
"Cluster_4","Cluster_21"
"Cluster_6","Cluster_21"
"Cluster_7","Cluster_21"
"Cluster_8","Cluster_21"
"Cluster_9","Cluster_21"
"phenotype","Cluster_21"
"REL","Cluster_21"
"PPARG","Cluster_21"
"TRAF1","Cluster_21"
"GRIN1","Cluster_21"
"CASP7","Cluster_21"
"NAV3","Cluster_21"
"DLG4","Cluster_21"
"CD33","Cluster_21"
"Cluster_1","Cluster_25"
"Cluster_11","Cluster_25"
"Cluster_14","Cluster_25"
"Cluster_15","Cluster_25"
"Cluster_16","Cluster_25"
"Cluster_17","Cluster_25"
"Cluster_18","Cluster_25"
"Cluster_19","Cluster_25"
"Cluster_2","Cluster_25"
"Cluster_20","Cluster_25"
"Cluster_21","Cluster_25"
"Cluster_26","Cluster_25"
"Cluster_27","Cluster_25"
"Cluster_3","Cluster_25"
"Cluster_4","Cluster_25"
"Cluster_6","Cluster_25"
"Cluster_7","Cluster_25"
"Cluster_8","Cluster_25"
"Cluster_9","Cluster_25"
"phenotype","Cluster_25"
"REL","Cluster_25"
"PPARG","Cluster_25"
"TRAF1","Cluster_25"
"GRIN1","Cluster_25"
"CASP7","Cluster_25"
"NAV3","Cluster_25"
"DLG4","Cluster_25"
"CD33","Cluster_25"
"Cluster_1","Cluster_26"
"Cluster_11","Cluster_26"
"Cluster_14","Cluster_26"
"Cluster_15","Cluster_26"
"Cluster_16","Cluster_26"
"Cluster_17","Cluster_26"
"Cluster_18","Cluster_26"
"Cluster_19","Cluster_26"
"Cluster_2","Cluster_26"
"Cluster_20","Cluster_26"
"Cluster_21","Cluster_26"
"Cluster_25","Cluster_26"
"Cluster_27","Cluster_26"
"Cluster_3","Cluster_26"
"Cluster_4","Cluster_26"
"Cluster_6","Cluster_26"
"Cluster_7","Cluster_26"
"Cluster_8","Cluster_26"
"Cluster_9","Cluster_26"
"phenotype","Cluster_26"
"REL","Cluster_26"
"PPARG","Cluster_26"
"TRAF1","Cluster_26"
"GRIN1","Cluster_26"
"CASP7","Cluster_26"
"NAV3","Cluster_26"
"DLG4","Cluster_26"
"CD33","Cluster_26"
"Cluster_1","Cluster_27"
"Cluster_11","Cluster_27"
"Cluster_14","Cluster_27"
"Cluster_15","Cluster_27"
"Cluster_16","Cluster_27"
"Cluster_17","Cluster_27"
"Cluster_18","Cluster_27"
"Cluster_19","Cluster_27"
"Cluster_2","Cluster_27"
"Cluster_20","Cluster_27"
"Cluster_21","Cluster_27"
"Cluster_25","Cluster_27"
"Cluster_26","Cluster_27"
"Cluster_3","Cluster_27"
"Cluster_4","Cluster_27"
"Cluster_6","Cluster_27"
"Cluster_7","Cluster_27"
"Cluster_8","Cluster_27"
"Cluster_9","Cluster_27"
"phenotype","Cluster_27"
"REL","Cluster_27"
"PPARG","Cluster_27"
"TRAF1","Cluster_27"
"GRIN1","Cluster_27"
"CASP7","Cluster_27"
"NAV3","Cluster_27"
"DLG4","Cluster_27"
"CD33","Cluster_27"
"Cluster_1","Cluster_3"
"Cluster_11","Cluster_3"
"Cluster_14","Cluster_3"
"Cluster_15","Cluster_3"
"Cluster_16","Cluster_3"
"Cluster_17","Cluster_3"
"Cluster_18","Cluster_3"
"Cluster_19","Cluster_3"
"Cluster_2","Cluster_3"
"Cluster_20","Cluster_3"
"Cluster_21","Cluster_3"
"Cluster_25","Cluster_3"
"Cluster_26","Cluster_3"
"Cluster_27","Cluster_3"
"Cluster_4","Cluster_3"
"Cluster_6","Cluster_3"
"Cluster_7","Cluster_3"
"Cluster_8","Cluster_3"
"Cluster_9","Cluster_3"
"phenotype","Cluster_3"
"REL","Cluster_3"
"PPARG","Cluster_3"
"TRAF1","Cluster_3"
"GRIN1","Cluster_3"
"CASP7","Cluster_3"
"NAV3","Cluster_3"
"DLG4","Cluster_3"
"CD33","Cluster_3"
"Cluster_1","Cluster_4"
"Cluster_11","Cluster_4"
"Cluster_14","Cluster_4"
"Cluster_15","Cluster_4"
"Cluster_16","Cluster_4"
"Cluster_17","Cluster_4"
"Cluster_18","Cluster_4"
"Cluster_19","Cluster_4"
"Cluster_2","Cluster_4"
"Cluster_20","Cluster_4"
"Cluster_21","Cluster_4"
"Cluster_25","Cluster_4"
"Cluster_26","Cluster_4"
"Cluster_27","Cluster_4"
"Cluster_3","Cluster_4"
"Cluster_6","Cluster_4"
"Cluster_7","Cluster_4"
"Cluster_8","Cluster_4"
"Cluster_9","Cluster_4"
"phenotype","Cluster_4"
"REL","Cluster_4"
"PPARG","Cluster_4"
"GRIN1","Cluster_4"
"CASP7","Cluster_4"
"NAV3","Cluster_4"
"DLG4","Cluster_4"
"CD33","Cluster_4"
"Cluster_1","Cluster_6"
"Cluster_11","Cluster_6"
"Cluster_14","Cluster_6"
"Cluster_15","Cluster_6"
"Cluster_16","Cluster_6"
"Cluster_17","Cluster_6"
"Cluster_18","Cluster_6"
"Cluster_19","Cluster_6"
"Cluster_2","Cluster_6"
"Cluster_20","Cluster_6"
"Cluster_21","Cluster_6"
"Cluster_25","Cluster_6"
"Cluster_26","Cluster_6"
"Cluster_27","Cluster_6"
"Cluster_3","Cluster_6"
"Cluster_4","Cluster_6"
"Cluster_7","Cluster_6"
"Cluster_8","Cluster_6"
"Cluster_9","Cluster_6"
"phenotype","Cluster_6"
"REL","Cluster_6"
"PPARG","Cluster_6"
"TRAF1","Cluster_6"
"GRIN1","Cluster_6"
"CASP7","Cluster_6"
"NAV3","Cluster_6"
"DLG4","Cluster_6"
"CD33","Cluster_6"
"Cluster_1","Cluster_7"
"Cluster_11","Cluster_7"
"Cluster_14","Cluster_7"
"Cluster_15","Cluster_7"
"Cluster_16","Cluster_7"
"Cluster_17","Cluster_7"
"Cluster_18","Cluster_7"
"Cluster_19","Cluster_7"
"Cluster_2","Cluster_7"
"Cluster_20","Cluster_7"
"Cluster_21","Cluster_7"
"Cluster_25","Cluster_7"
"Cluster_26","Cluster_7"
"Cluster_27","Cluster_7"
"Cluster_3","Cluster_7"
"Cluster_4","Cluster_7"
"Cluster_6","Cluster_7"
"Cluster_8","Cluster_7"
"Cluster_9","Cluster_7"
"phenotype","Cluster_7"
"REL","Cluster_7"
"PPARG","Cluster_7"
"TRAF1","Cluster_7"
"GRIN1","Cluster_7"
"CASP7","Cluster_7"
"NAV3","Cluster_7"
"DLG4","Cluster_7"
"CD33","Cluster_7"
"Cluster_1","Cluster_8"
"Cluster_11","Cluster_8"
"Cluster_14","Cluster_8"
"Cluster_15","Cluster_8"
"Cluster_16","Cluster_8"
"Cluster_17","Cluster_8"
"Cluster_18","Cluster_8"
"Cluster_19","Cluster_8"
"Cluster_2","Cluster_8"
"Cluster_20","Cluster_8"
"Cluster_21","Cluster_8"
"Cluster_25","Cluster_8"
"Cluster_26","Cluster_8"
"Cluster_27","Cluster_8"
"Cluster_3","Cluster_8"
"Cluster_4","Cluster_8"
"Cluster_6","Cluster_8"
"Cluster_7","Cluster_8"
"Cluster_9","Cluster_8"
"phenotype","Cluster_8"
"REL","Cluster_8"
"PPARG","Cluster_8"
"TRAF1","Cluster_8"
"GRIN1","Cluster_8"
"CASP7","Cluster_8"
"NAV3","Cluster_8"
"DLG4","Cluster_8"
"CD33","Cluster_8"
"Cluster_1","Cluster_9"
"Cluster_11","Cluster_9"
"Cluster_14","Cluster_9"
"Cluster_15","Cluster_9"
"Cluster_16","Cluster_9"
"Cluster_17","Cluster_9"
"Cluster_18","Cluster_9"
"Cluster_19","Cluster_9"
"Cluster_2","Cluster_9"
"Cluster_20","Cluster_9"
"Cluster_21","Cluster_9"
"Cluster_25","Cluster_9"
"Cluster_26","Cluster_9"
"Cluster_27","Cluster_9"
"Cluster_3","Cluster_9"
"Cluster_4","Cluster_9"
"Cluster_6","Cluster_9"
"Cluster_7","Cluster_9"
"Cluster_8","Cluster_9"
"phenotype","Cluster_9"
"REL","Cluster_9"
"PPARG","Cluster_9"
"TRAF1","Cluster_9"
"GRIN1","Cluster_9"
"CASP7","Cluster_9"
"NAV3","Cluster_9"
"DLG4","Cluster_9"
"Cluster_1","PatDemo_educ"
"Cluster_11","PatDemo_educ"
"Cluster_14","PatDemo_educ"
"Cluster_15","PatDemo_educ"
"Cluster_16","PatDemo_educ"
"Cluster_17","PatDemo_educ"
"Cluster_18","PatDemo_educ"
"Cluster_19","PatDemo_educ"
"Cluster_2","PatDemo_educ"
"Cluster_20","PatDemo_educ"
"Cluster_21","PatDemo_educ"
"Cluster_25","PatDemo_educ"
"Cluster_26","PatDemo_educ"
"Cluster_27","PatDemo_educ"
"Cluster_3","PatDemo_educ"
"Cluster_4","PatDemo_educ"
"Cluster_6","PatDemo_educ"
"Cluster_7","PatDemo_educ"
"Cluster_8","PatDemo_educ"
"Cluster_9","PatDemo_educ"
"phenotype","PatDemo_educ"
"PatDemo_sex","PatDemo_educ"
"PatDemo_apoe","PatDemo_educ"
"PatDemo_age","PatDemo_educ"
"PatDemo_brainregion","PatDemo_educ"
"REL","PatDemo_educ"
"PPARG","PatDemo_educ"
"TRAF1","PatDemo_educ"
"GRIN1","PatDemo_educ"
"CASP7","PatDemo_educ"
"NAV3","PatDemo_educ"
"DLG4","PatDemo_educ"
"CD33","PatDemo_educ"
"Cluster_1","PatDemo_sex"
"Cluster_11","PatDemo_sex"
"Cluster_14","PatDemo_sex"
"Cluster_15","PatDemo_sex"
"Cluster_16","PatDemo_sex"
"Cluster_17","PatDemo_sex"
"Cluster_18","PatDemo_sex"
"Cluster_19","PatDemo_sex"
"Cluster_2","PatDemo_sex"
"Cluster_20","PatDemo_sex"
"Cluster_21","PatDemo_sex"
"Cluster_25","PatDemo_sex"
"Cluster_26","PatDemo_sex"
"Cluster_27","PatDemo_sex"
"Cluster_3","PatDemo_sex"
"Cluster_4","PatDemo_sex"
"Cluster_6","PatDemo_sex"
"Cluster_7","PatDemo_sex"
"Cluster_8","PatDemo_sex"
"Cluster_9","PatDemo_sex"
"phenotype","PatDemo_sex"
"PatDemo_educ","PatDemo_sex"
"PatDemo_apoe","PatDemo_sex"
"PatDemo_age","PatDemo_sex"
"PatDemo_brainregion","PatDemo_sex"
"REL","PatDemo_sex"
"PPARG","PatDemo_sex"
"TRAF1","PatDemo_sex"
"GRIN1","PatDemo_sex"
"CASP7","PatDemo_sex"
"NAV3","PatDemo_sex"
"DLG4","PatDemo_sex"
"CD33","PatDemo_sex"
"Cluster_1","PatDemo_apoe"
"Cluster_11","PatDemo_apoe"
"Cluster_14","PatDemo_apoe"
"Cluster_15","PatDemo_apoe"
"Cluster_16","PatDemo_apoe"
"Cluster_17","PatDemo_apoe"
"Cluster_18","PatDemo_apoe"
"Cluster_19","PatDemo_apoe"
"Cluster_2","PatDemo_apoe"
"Cluster_20","PatDemo_apoe"
"Cluster_21","PatDemo_apoe"
"Cluster_25","PatDemo_apoe"
"Cluster_26","PatDemo_apoe"
"Cluster_27","PatDemo_apoe"
"Cluster_3","PatDemo_apoe"
"Cluster_4","PatDemo_apoe"
"Cluster_6","PatDemo_apoe"
"Cluster_7","PatDemo_apoe"
"Cluster_8","PatDemo_apoe"
"Cluster_9","PatDemo_apoe"
"phenotype","PatDemo_apoe"
"PatDemo_educ","PatDemo_apoe"
"PatDemo_sex","PatDemo_apoe"
"PatDemo_age","PatDemo_apoe"
"PatDemo_brainregion","PatDemo_apoe"
"REL","PatDemo_apoe"
"PPARG","PatDemo_apoe"
"TRAF1","PatDemo_apoe"
"GRIN1","PatDemo_apoe"
"CASP7","PatDemo_apoe"
"NAV3","PatDemo_apoe"
"DLG4","PatDemo_apoe"
"CD33","PatDemo_apoe"
"phenotype","PatDemo_age"
"Cluster_1","PatDemo_brainregion"
"Cluster_11","PatDemo_brainregion"
"Cluster_14","PatDemo_brainregion"
"Cluster_15","PatDemo_brainregion"
"Cluster_16","PatDemo_brainregion"
"Cluster_17","PatDemo_brainregion"
"Cluster_18","PatDemo_brainregion"
"Cluster_19","PatDemo_brainregion"
"Cluster_2","PatDemo_brainregion"
"Cluster_20","PatDemo_brainregion"
"Cluster_21","PatDemo_brainregion"
"Cluster_25","PatDemo_brainregion"
"Cluster_26","PatDemo_brainregion"
"Cluster_27","PatDemo_brainregion"
"Cluster_3","PatDemo_brainregion"
"Cluster_4","PatDemo_brainregion"
"Cluster_6","PatDemo_brainregion"
"Cluster_7","PatDemo_brainregion"
"Cluster_8","PatDemo_brainregion"
"Cluster_9","PatDemo_brainregion"
"phenotype","PatDemo_brainregion"
"PatDemo_educ","PatDemo_brainregion"
"PatDemo_sex","PatDemo_brainregion"
"PatDemo_apoe","PatDemo_brainregion"
"PatDemo_age","PatDemo_brainregion"
"REL","PatDemo_brainregion"
"PPARG","PatDemo_brainregion"
"TRAF1","PatDemo_brainregion"
"GRIN1","PatDemo_brainregion"
"CASP7","PatDemo_brainregion"
"NAV3","PatDemo_brainregion"
"DLG4","PatDemo_brainregion"
"CD33","PatDemo_brainregion"
"Cluster_1","REL"
"Cluster_11","REL"
"Cluster_14","REL"
"Cluster_15","REL"
"Cluster_16","REL"
"Cluster_17","REL"
"Cluster_18","REL"
"Cluster_19","REL"
"Cluster_2","REL"
"Cluster_20","REL"
"Cluster_21","REL"
"Cluster_25","REL"
"Cluster_26","REL"
"Cluster_27","REL"
"Cluster_3","REL"
"Cluster_4","REL"
"Cluster_6","REL"
"Cluster_7","REL"
"Cluster_8","REL"
"Cluster_9","REL"
"phenotype","REL"
"PPARG","REL"
"TRAF1","REL"
"GRIN1","REL"
"CASP7","REL"
"NAV3","REL"
"DLG4","REL"
"CD33","REL"
"Cluster_1","PPARG"
"Cluster_11","PPARG"
"Cluster_14","PPARG"
"Cluster_15","PPARG"
"Cluster_16","PPARG"
"Cluster_17","PPARG"
"Cluster_18","PPARG"
"Cluster_19","PPARG"
"Cluster_2","PPARG"
"Cluster_20","PPARG"
"Cluster_21","PPARG"
"Cluster_25","PPARG"
"Cluster_26","PPARG"
"Cluster_27","PPARG"
"Cluster_3","PPARG"
"Cluster_4","PPARG"
"Cluster_6","PPARG"
"Cluster_7","PPARG"
"Cluster_8","PPARG"
"Cluster_9","PPARG"
"phenotype","PPARG"
"REL","PPARG"
"TRAF1","PPARG"
"GRIN1","PPARG"
"CASP7","PPARG"
"NAV3","PPARG"
"DLG4","PPARG"
"CD33","PPARG"
"Cluster_1","TRAF1"
"Cluster_11","TRAF1"
"Cluster_14","TRAF1"
"Cluster_15","TRAF1"
"Cluster_16","TRAF1"
"Cluster_17","TRAF1"
"Cluster_18","TRAF1"
"Cluster_19","TRAF1"
"Cluster_2","TRAF1"
"Cluster_20","TRAF1"
"Cluster_21","TRAF1"
"Cluster_25","TRAF1"
"Cluster_26","TRAF1"
"Cluster_27","TRAF1"
"Cluster_3","TRAF1"
"Cluster_4","TRAF1"
"Cluster_6","TRAF1"
"Cluster_7","TRAF1"
"Cluster_8","TRAF1"
"Cluster_9","TRAF1"
"phenotype","TRAF1"
"REL","TRAF1"
"PPARG","TRAF1"
"GRIN1","TRAF1"
"CASP7","TRAF1"
"NAV3","TRAF1"
"DLG4","TRAF1"
"CD33","TRAF1"
"Cluster_1","GRIN1"
"Cluster_11","GRIN1"
"Cluster_14","GRIN1"
"Cluster_15","GRIN1"
"Cluster_16","GRIN1"
"Cluster_17","GRIN1"
"Cluster_18","GRIN1"
"Cluster_19","GRIN1"
"Cluster_2","GRIN1"
"Cluster_20","GRIN1"
"Cluster_21","GRIN1"
"Cluster_25","GRIN1"
"Cluster_26","GRIN1"
"Cluster_27","GRIN1"
"Cluster_3","GRIN1"
"Cluster_4","GRIN1"
"Cluster_6","GRIN1"
"Cluster_7","GRIN1"
"Cluster_8","GRIN1"
"Cluster_9","GRIN1"
"phenotype","GRIN1"
"REL","GRIN1"
"PPARG","GRIN1"
"TRAF1","GRIN1"
"CASP7","GRIN1"
"NAV3","GRIN1"
"DLG4","GRIN1"
"CD33","GRIN1"
"Cluster_1","CASP7"
"Cluster_11","CASP7"
"Cluster_14","CASP7"
"Cluster_15","CASP7"
"Cluster_16","CASP7"
"Cluster_17","CASP7"
"Cluster_18","CASP7"
"Cluster_19","CASP7"
"Cluster_2","CASP7"
"Cluster_20","CASP7"
"Cluster_21","CASP7"
"Cluster_25","CASP7"
"Cluster_26","CASP7"
"Cluster_27","CASP7"
"Cluster_3","CASP7"
"Cluster_4","CASP7"
"Cluster_6","CASP7"
"Cluster_7","CASP7"
"Cluster_8","CASP7"
"Cluster_9","CASP7"
"phenotype","CASP7"
"REL","CASP7"
"PPARG","CASP7"
"TRAF1","CASP7"
"GRIN1","CASP7"
"NAV3","CASP7"
"DLG4","CASP7"
"CD33","CASP7"
"Cluster_1","NAV3"
"Cluster_11","NAV3"
"Cluster_14","NAV3"
"Cluster_15","NAV3"
"Cluster_16","NAV3"
"Cluster_17","NAV3"
"Cluster_18","NAV3"
"Cluster_19","NAV3"
"Cluster_2","NAV3"
"Cluster_20","NAV3"
"Cluster_21","NAV3"
"Cluster_25","NAV3"
"Cluster_26","NAV3"
"Cluster_27","NAV3"
"Cluster_3","NAV3"
"Cluster_4","NAV3"
"Cluster_6","NAV3"
"Cluster_7","NAV3"
"Cluster_8","NAV3"
"Cluster_9","NAV3"
"phenotype","NAV3"
"REL","NAV3"
"PPARG","NAV3"
"TRAF1","NAV3"
"GRIN1","NAV3"
"CASP7","NAV3"
